GENERAL CALVIL (BLACK PILL),Olha para ti. jogado no chão como o lixo que é! Acha mesmo que uma criatura como você conseguiria parar o inevitável?
Agente,Ugh... Ainda... não acabou...
GENERAL CALVIL (BLACK PILL),"Acabou no momento em que decidiu defender essa gente ingrata que não percebe que sempre teve o previlégio de ficar nos seus lares enquanto nós, sozinhos, organizamos o mundo inteiro. Sem a sua tropa para fazer balbúrdia, você não passa de um erro crônico na minha linha temporal. Desapareça!"
GENERAL CALVIL (BLACK PILL),Mas o que é isto?! Quitéria?!
Maria Quitéria,"O Agente nunca esteve sozinho, General! O exército que tu tentaste apagar está de pé!"
Maria da Penha,"O tempo do discurso retrógrado acabou, Calvil, e a 'ordem natural' é apenas a covardia de quem tem medo de igualdade. Minha voz e a história destas mulheres não pertencem a ti!"
GENERAL CALVIL (BLACK PILL),"Não, me solta! Meu império, minha narrativa, meus soldados e meu mundo viril...!"
TODAS AS HEROÍNAS,Pela liberdade de todas as eras!
General Calvil,Não! Vocês estragaram tudo! O meu plano era perfeito e os meus Rubros eram os melhores! Eu escolhi cada um desses corajosos homens de bem para governar o meu mundo!
Agente,"Isso acabou de vez, você vai pagar por tudo que fez e tentou fazer com a história do NOSSO território"
Relógio Temporal,General Calvil neutralizado com sucesso. Inicializando transferência para a Prisão de Segurança Máxima da Patrulha Temporal.
Agente,"Agradeço todas vocês por terem me ajudado a salvar nossa história pela ajuda. Mas... Maria, o voo para a ONU? Se você ficou aqui para lutar, pode perder o momento para fazer sua importante denúncia."
Maria da Penha,"Não se preocupe, Agente. O tempo agora corre a nosso favor. Se usarmos a mesma fenda que nos uniu, eu chegarei àquela sala exatamente no minuto em que o mundo precisa de me ouvir."
Agente,"Perfeito. Relógio, preparar o curso final para ONU."
Relógio Temporal,"Curso traçado, abrindo fenda!"
Maria da Penha," Agente, graças a você podemos seguir na luta por uma sociedade mais justa para todo mundo! Muito obrigada!"
Agente,Eu que agradeço pela sua coragem inspiradora!
Agente,"Agora, Relógio, traçar rota para o ano de cada heroína que aqui me ajudou até aqui. Pode desativar o modo Robótico."
Relógio Temporal,"Obrigado, não aguentava mais esse tom sério. Ajustando várias fendas para vários tempos! "
Agente, Vamos para nosso tempo. E que tal aquele cafézinho agora?
