Ermelinda Lopes de Barros,"Mais um voluntário? Graças aos céus! Não há tempo a perder, a epidemia está a espalhar-se mais rápido do que conseguimos registar os doentes."
Agente,Enfermeira Ermelinda. Vim dar apoio.
Ermelinda Lopes de Barros,"Excelente. Preciso que organize estas ampolas de quinino e ajude na triagem da ala sul."""
Relógio Temporal,"Ela é incrível! Mesmo sem os nossos equipamentos do futuro, a determinação dela é manter este hospital de pé!"
Agente,Qual é a prioridade neste momento?
Ermelinda Lopes de Barros,Garantir que estes medicamentos cheguem aos necessitados e...
Rubro Negacionista,Hahaha! Que palhaçada médica é essa?!
Rubro Negacionista,"Parem com o teatro, não existe gripe nenhuma! É tudo invenção para estragar o comércio e as festas da capital!"
Ermelinda Lopes de Barros,Como ousa?! Há pessoas a sofrer nos leitos mesmo atrás de ti! Afaste-se dos medicamentos agora!
Rubro Negacionista,"Bobagens científicas! O General Calvil mandou avisar que vossa 'ciência' termina hoje! Rapazes, deitem as tendas abaixo e infectem tudo! Vamos sabotar o estoque!"
Ermelinda Lopes de Barros,"Eu não vou recuar! Rapaz! mascarado, ganhe-me tempo! Vou preparar um composto purificador concentrado para neutralizar as toxinas destes capangas, mas preciso que me proteja a todo custo enquanto finalizo a fórmula"
Relógio Temporal,"Atenção, Agente! O Rubro Negacionista está enviando hordas de capangas contaminados para destruir os suprimentos e atacar Ermelinda. Defenda-a até que o tônico esteja pronto!"
Agente,Perímetro de defesa estabelecido.
Rubro Negacionista,Atacar! E destruam aquela mesa de laboratório! Hahaha!
