Raiam Santos,"Vocês deviam voltar para casa jogar bola, trabalhar no campo, qualquer coisa! O que é que acham que vão aprender aqui dentro?"
Criança,Mas a professora Antonieta disse que os livros abrem portas para o nosso futuro...
Raiam Santos,"Professora? Aquela mulher não entende nada sobre dar aulas! Nenhuma delas foi feita para atividades intelectuais, e isso vai contra as regras da sociedade! Esqueçam a escola, vão embora!"
Antonieta de Barros,Quem o senhor pensa que é para afastar os meus alunos do direito mais sagrado que eles possuem?!
Raiam Santos,"Olha, a dona da escola. O General Calvil avisou que o seu tempo estava acabando, Antonieta. Sem alunos, suas ideias morrem aqui!"
Agente,"Ele está fugindo, COVARDE!"
Relógio Temporal,"Agente, meus sensores confirmam: aquela é Antonieta de Barros, sem o disfarce de Maria da Ilha! E aquele sujeito ali era Raiam Santos, um dos oficiais mais retrógrados do exército do Calvil!"
Antonieta de Barros,Eu lhe conheço... Você tentou proteger-me ontem à noite nas sombras da imprensa.
Agente,"O que ele disse está completamente errado, Antonieta, e nós viemos ajudar."
Antonieta de Barros,"Obrigada, jovem. A ignorância é o pior inimigo da nossa história! Raiam usou mentiras para encher a cabeça daqueles meninos de medo, e eles fugiram assustados pelas ruas de Florianópolis."
Antonieta de Barros,"Se me ajudar a enfrentar os capangas de Raiam Santos, quebrando suas mentiras e trazendo meus alunos de volta para a sala de aula, eu e as gerações futuras seremos eternamente grata!"
Agente,Considere feito. Vou limpar o caminho.
