Agente,"Acabou, Marco. Teu joguinho sujo termina aqui."
Marco Antônio,"[Tossindo, com raiva] Tu... tu não entende nada! O Calvil abriu meus olhos! Uma casa precisa de ordem e de um homem no comando. Ela estava desafiando a minha autoridade, destruindo minha honra. Você não percebe?"
Agente,"Acha que acabar com a sua própria esposa, por não suportar sua independência, é questão de honra?
Diálogo derrota Marco,RELÓGIO TEMPORAL, ALERTA: Proximidade iminente com a Linha Temporal Primária. Divergência calculada em 0%. Evento Canônico Detectado: Maio de 1983."
Marco Antônio,"Ouviu isso? É ela! Ela está chegando. Calvil tem razão, se eu não controlar tudo agora, o futuro vai tirar tudo de nós!"
Marco Antônio,"Vou manter o poder nas mãos dos homens, que é de onde ele jamais deveria ter saido!"
Agente,NÃO!
Agente,"Maria! Fica comigo, por favor... Aguenta!"
Agente,"Relógio! Ative os nano-reparadores médicos agora! Cura o trauma da coluna, salve ela da paraplegia! Rápido!"
Relógio Temporal,Negativo. Intervenção biológica bloqueada. A alteração deste evento resultaria no colapso da Linha Temporal 2006. O evento canônico deve ser preservado.
Agente," Ó não! Relógio, ativar chamada da rede local. Ligue imediatamente para os serviços de emergência e peça uma ambulância, AGORA!"
Relógio Temporal,Serviço de emergência acionado!
Agente,Calvil... 
Agente,Localização dele Relógio
Relógio Temporal,Sensores detectaram assinaturas de energia dos Rubros no quintal atrás da casa.
Agente,"Aguenta firme, Maria, o socorro está chegando. Eu vou acabar com isso de uma vez por todas."
